a'dād	numbers; pl of adad
arze	offer; presentation; exposition; proffer; skill; efficiency
arze kardan	offer; tender
arze kardan (kon)	offer
arze vo taqāzā	supply and demand
arzehāl	petition; suit; complaint
arzehāl dādan	plead;  present a petition
arze dāštan	offer; present; submit
arzeš	value; price; worthiness
arzeš dāštan	cost; being valuable
arzešmand	worthy; valuable
arzidan (arz)	cost
arzyāb	assessor
arzyābi	assess; evaluation; assessment; appraisal; valuation; estimate; appraisement
arzyābi kardan	evaluate; appraise; aim; rate
arzān	cheap; inexpensive
arājif	gossip
arāmane	pl of Armani
Arāq	Iraq
arāqi	Iraqi
arāzel	rabble
arāzel-o owbāš	rabble
arš	throne; heaven; empyrean; siege
aršad	senior; eldest; superior; elder; major; commander
arše	deck
arše-ye kešti	deck
asab (a'sāb)	nerve
asabi	nervous; neural; neurotic
asabi šodan	get nervous
asabāni	angry
asabāni kardan	anger
asabāni šodan	get angry
asabānikonande	outrageous; provocative
asabāniyat	anger
asafbār	wretched
asal	honey
asar	effect; result; efficacy; vestigial; affect; relic; trace; impress; symptom; tract; sign; work
asar (āsār, asarāt)	effect; result; efficacy; trace; relic; work
asar kardan	affect; act; effect
asar-e angošt	fingerprint
asar-e bāqimānde	hangover; remain
asar-e honari	artwork; work of art
asar-e moteqābel	interaction; interplay
asar-e namāyeši	exhibit
asar-e zaxm	scar; cicatrix
asarbaxš	effective
asarbaxši	effectiveness
asarpazir	bonding; impressionable
asarpaziri	influence
asarsuxtegi	burn
asarxarāš	scrape
asarāt	pl of asar
asargozār	effective
asargozāri	effectiveness; impressment
asb	horse; steed
asb-e cubi	rocking horse
asb-e kutule	pony
asb-e mordani	skate
asb-e ābi	hippopotamus; hippo
asbaq	predecessor; prior
asbdavāni	hours riding; horse racing
asbdavāni kardan	jockey
asbeboxār	hp
asbeābi	hippo; hippopotamus; rhino
asbsavār	horseman; cavalier; equestrian; rider
asbsavār-e herfei	jockey
asbsavāri	horse riding; roadster; trooper; riding
asbsavāri kardan	ride
asbāb	rigging; rig; furniture; gadget; instrument; layout; tackle; pl of sabab
asbāb-e kār	kit
asbāb-e laqzande	slide
asbāb-e safar	bags
asbāb-e tanzim	adjustment
asbāb-o asāsiye	furniture
asbābbāzi	toy; plaything
asbābkeši	moving
asbābkeši kardan	move
ashāb	companions
asid	acid
asidi	acidic
asil	original; noble; pure; v
asir	captive; prisoner; slave
asir (osarā)	captive; prisoner
asir kardan	capture; enthrall; captivate; enthral
asir-e jangi	prisoner of war
asiri	captive
asiršode	captive
asl	principle; origin; axiom; original; genuine; maxim; element; strain
asl (osul)	principle; origin; root; original
aslahe	weapon; arm
aslahe-ye garm	firearm; shooting iron
aslahe-ye partābkardani	missile
aslahedār	aslhhdar
aslahesāzi	arms; weaponry
aslahexāne	all over; armory; armoury
aslan	ever; none; nix; at all; in general; anyway
asli	main; original; principal; basic; primary; genuine;  original;  principal;  basic;  primary;  organic
aslonasab	lineage; extraction
asmā'	asma
asnād	documents; predication; delation; pl of sanad
asnād-e sāxtegi sāxtan	forge
asqar	lesser; minor; junior; less
asr	age; era; evening; time; afternoon; period
asr bexeyr	good evening
asra'	as soon as
asrāne	afternoon snack
asrār	secrets; pl of ser(r)
asrārāmiz	mysterious; occult; secret
