a'dād	numbers; pl of adad
rošd kardan	grow; flourish; mature; wax; grow up
rošd-e eqtesādi	economic growth
rošd-e jam'iyat	population growth
rošdkonande	bloomy
rošdnayāfte	immature
rošdonemov	grow
rošdyāfte	grown
ru	face; top; superficies; uppermost
ru be zavāl gozārdan	decline
ru be zavāl gozāštan	deteriorate
ru dādan	spoil
ru gereftan	dump
ru(-ye)	on; over
ru(y)	top; face; uppermost; visage
ru-ye cangak gozārdan	rack
ru-ye parde afkandan	screen
ru-ye āb istādan	float
ruandāz	blanket
ruband	mask
rubande	scavenger; sweeper; housecleaner; mask
rubardāri kardan	dump
rubebālā	upwards
ruberošd	growing
ruberu	opposite; adverse; head-on; vis-a-vis
ruberu šodan	confront; encounter; envisage; cross; face
ruberu(-ye)	opposite; across from
ruberuyi	front
ruberāh	good; fine
rubidan	sweep
rubusi	kiss and hug
rubusi kardan	kiss and hug
rubāh	fox; reynard; slyboots
rubāhsefat	guile; foxy; vulpine
rubāleši	pillowcases
rubān	ribbon; tape; band
rubān-e sar	hair band
rubāz	open; barefaced; hypaethral
rud	river; stream; flood
rudarbāyesti	to put it bluntly
rudarru	face to face
rude	gut; bowel; intestine; garbage
rude dar āvardan az	gut; disembowel; embowel
rude-ye bozorg	colon
rude-ye kucak	small intestine
rude-ye kur	appendicitis
rudel	indigestion
rudxāne	river; flow
rudār	cheeky
ruftan	sweep
ruh	ghost; spirit
ruh (arvāh)	spirit; psyche; soul; ghost
ruhafzā	cheerful
ruhan	spiritually; mentally
ruhangiz	soulful
ruhi	mental; spiritual; moral
ruhiye	spirit; morale; mentality
ruhiyebaxš	inspiring
ruhiyāt	spirits
Ruholqodos	Holy Spirit
rukeš	veneer; coating; facing; coat; slip; cover; envelope
rukeš-e dandān	crown
rukeš-e talā	gold plating
rukār	superficies
rulebāsi	overdress; coveralls
Rum	Rome
rumi	roman; romanesque
rumizi	tablecloth
runamā	handsel
runamāyi	unveiling
runevešt	transcript; copy; transcription; facsimile; replication; counterpart; photocopy
runevešt bar dāštan	copy
runevis	transcriber
runevisi	transcription
runevisi kardan	transcribe; copy
rupust	epidermis
rupuš	hood; gown; cover; topcoat; wrapper; duster; top; cortex
rurāst	frank; open
Rus	Russian
rusari	scarf; headgear; headband; hood; kerchief
rusefid	exculpate
rusefid kardan	acquit; assoil; exculpate; exonerate
rusefidi	exculpate; exoneration; acquittal
rusi	Russian
Rusiye	Russia
rusiyāh	shamed
rusiyāhi	disgrace
ruspi	prostitutes; prostitute
ruspigari	prostitution
ruspixāne	brothel
ruspigari	prostitution
rustā	village
rustānešin	villagers
rustāyi	rural; village; rustic; peasant; villager
rusāxt	superstructure
rusāzi	furnish
rutaxtexābi	so beds
rutaxti	counterpane; bedspread
ruy	on; over; in; zinc; tin; hyper-; supra-
ruy darham kešidan	frown
ruy dādan	happen; bechance; befall; betide; go; hap; occur
ruyande	vegetive; vegetative
ruydād	event; happening; circumstance; incident; occurrence
ruydād-e mahij	sensation
ruye	surface; cover
ruye-eš enšeābi	shoot
ruyeham	totally; overhand; in sum
ruyehamrafte	in total; altogether; overall; all in all
ruyeš	germination
ruyeš-e šāxe	shoot
ruyešgāh	habitat
ruyi	o'er; over; zincoid
ruyidan	grow; vegetate
ruyidan (ruy)	vegetate; grow
ruyintan	invulnerable
ruykard	approach
ruyānidan	grow
ruyāru	face
ruyāruyi	encounter; clash
ruygar	whitesmith
ruygardāni	ditched
ruygari	whitesmith
ruz	day; daytime
ruz bexeyr	good day
ruz-e harekat	day of departure
Ruz-e Kārgar	Labor Day
Ruz-e Mādar	Mother Day
Ruz-e Qiyāmat	Judgment Day
ruz-e safar	day of departure
ruz-e ta'til	holiday
ruz-e ta'til-e melli	national holiday
ruz-e tavallod	birthday
ruz-e vorud	day of arrival
ruz-e xub-i dāšte bāšid	Have a nice day!
ruz-i	someday
ruzafzun	increasing
ruzberuz	daily
ruze	fast; lent; fasting
ruze gereftan	fast
ruzegār	time; period
ruzhā	for days
ruzhā-ye motemādi	for days
ruzmarre	routine; quotidian; regularly, routinely, daily
ruzmozd	day laborer
ruznāme	newspaper; paper; journal
ruznāme paxš kardan	deliver newspapers
ruznāme-ye asr	evening paper
ruznāme-ye sobh	morning paper
ruznāmeforuš	news vendor; newsman
ruznāmeforuši	a newspaper; newsstand
ruznāmenegār	journalist; publicist
ruznāmenegār	journalist; newspaperman; publicist
ruznāmenegāri	journalism
ruzāmad	update; updated; up to date
ruzāmadsāzi	update
ruzāne	daily; diurnal; quotidian; per diem
ruzšomār	calendar
ruzšomāri	counting
ruzgār	time; period; condition
rugardāni	baulk; refusal; balk
rā	direct object marker
rābean	fourthly
rābet	connector; copulative; connective; liaison; go-between; interface
rābete	relation; connection; respect; relevance; nexus; dash; bond; tie
rābete (ravābet)	relationship
rābete-ye jensi	sexual relationship
rābete-ye nāmšru'	adultery; low e affair
rābete-ye siyāsi	political relationship
rābete dāštan	correspond; liaise
rād	rod; honest; upright
rādikāl	radical
rādiyo	radio; wireless; receiving set
rādiyo guš kardan	radio listening
rādiyo-ye otomobil	car radio
rādiyoaktiv	radioactive
rādiyoloži	radiology
rādiyopaxš	audio systems
rādiyotelvizyon	television-radio
rādiyoyi	radio
rādiyozabt	radio recorder
rādiyātor	radiator
rādmardi	magnanimity
rādār	radar
rāh	way; road; path; route; avenue; pass; direction
rāh andāxtan	operate; launch
rāh dādan	admit
rāh gozidan	switch
rāh nadādan	exclude
rāh oftādan	starting; start
rāh raftan	walk; gait; go; ambulate; stride; stalk; tread
rāh rā avazi raftan	go wrong way
rāh rā gom kardan	lose one's way
rāh-e asli-ye juybār	mainstream
rāh-e daryāyi	seaway; lane
rāh-e havāyi	airway
rāh-e qeyremostaqim	indirect way
rāh-e vorud	entrance; driveway; access
rāh-e vorudi-ye otobān	feeder road; motorway access
rāh-e xod rā gom kardan	lose one's way
rāh-e xoruji	exit
rāh-e zamini	overland
rāh-e āsfālte	paved road
rāh-rāh	stripes; corrugated; striped
rāhandāzi	setting up; triggering; launch
rāhandāzi kardan	launch
rāhat	comfortable; convenient; well; comfort; tranquility; comfy; straight; cozy; tranquillity; easy; effortless; casual
rāhat kardan	ease; lighten; relax; rest
rāhat sohbat kardan	talk casually
rāhat šodan	being relieved
rāhati	convenience; relief; easement; comfort
rāhattalab	easygoing; easy-going
rāhattalabi	seeking comfort; indolence
rāhbandān	traffic; traffic jam; jam
rāhbar	leader
rāhbari	leadership
rāhbord	strategy; guideline
rāhbordi	strategic
rāhdāri	toll
rāheb	monk; cowl; hermit
rāhebe	nun; prioress; anchoress
rāhehal	solution; out
rāhehal(l)	solution
rāhgozin	switch
rāhgošā	constructive; useful
rāhi šodan	go; depart
rāhkār	solution
rāhnamā	guide; guidance; guideline; leader; advisor; landmark; adviser
rāhnamā-ye jahāngardān	tourist guide
rāhnamā-ye safar	travel guide
rāhnamā-ye telefon	phone book
rāhnamā-ye tur	tour guide
rāhnamāyi	guidance; instruction; orientation; leadership; admonition; leading; lead; steerage; aim
rāhnamāyi kardan	usher; guide; instruct; steer; cue; lead
rāhnamāyi kardan (kon)	guide; instruct
rāhnamāyi-yo rānandegi	road traffic department
rāhnavard	trekker
rāhnavardi	trek
rāhotarābari	roads and transportation
rāhpelle	stairwell; staircase
rāhpeymā	marching; router; marcher
rāhpeymāyi	rally; march; demonstration; hike; walk
rāhpeymāyi kardan	march; demonstrate; hike; walk
rāhravi	walk
rāhrow	corridor; hall; aisle; doorway; passage; lobby; walk
rāhsāzi	road construction
rāhyābi	progression
rāhzan	bandit; robber; brigand; mugger
rāhzani	robbery; banditry; brigandage
rāhāb	ditch; gargoyle; gully; scupper; lead
rāhāhan	rail; railway; railroad;  railroad;  road
rāhāhan-e markazi	central station
rāhgošā	help
rāje'	about; repetitive
rāje' be	about; on; regarding
rāked gozārdan	lock
rāket	rocket
rām	tame; docile; meek; ram
rām kardan	domesticate; bridle; subdue; daunt; gentle; master; taming
rāmešgar	bard; jigger
rāmešgari	bardic; music
rān	leg; thigh
rān-e barre	leg of lamb
rān-e morq	chicken thigh
rān-e xuk	ham
rānande	driver; helmsman; steersman; propellant; chauffeur
rānande-ye kāmiyon	trucker; teamster
rānande-ye otobus	bus driver
rānande-ye šaxsi	chauffeur
rānandegi	driving
rānandegi kardan	drive
rānandegi kardan (kon)	drive
rānandetāksi	taxi driver
rānandegi	driving
rānd	rounds; osmosis
rāndan	drive; drive away; steer; propulsion; pulsion; force; run; dislodge; row
rāndan (rān)	drive; ride
rāndani	steering
rānde	outcast; castaway
rāndegi	drift; expulsion
rāndešode	banished
rāneš	buoyancy; run
rāqeb	willing
rāsex	firm; thick-and-thin
rāst	right; upright; truthful; truth; truly; straight; true; direct; straightforward
rāst budan	being right
rāst goftan	tell the truth
rāst kardan	unbend; straighten; erect
rāst šodan	stand
rāst-e hoseyni	square; simon-pure; straight-out
rāstdast	right handed; right-handed
rāstdasti	right-handed
rāste	row; order; phylum
rāstgu	truthful; honest
rāstguyi	honesty; truthfulness
rāsti	really; truth; integrity; indeed!; indeed; by the way; incidentally
rāstin	real; true
rāstingerāyi	realism
rāstkerdār	righteous
rāstkerdāri	righteous
rāstkāri	honesty
rāstnamā	likely; sincere
rāstgerā	right
rāstgu	sooth; truthful; true
rāstguyi	veracity
rāvi	narrator
rāy	opinion
rāyegān	free; gratuitous; gratis
rāyehe	scent; smell; aroma; aura; odor; breath
rāyehe dāštan	smell
rāyej	common; current
rāyej šodan	pass
rāyey	common; current; prevalent; going; ruling; brisk
rāyegāni	gratuity
rāyzan	advisor; adviser; counselor; councilor; consultant; councillor
rāyzani	consultation; advice; counsel
rāyāne	computer
rāyāne-ye šaxsi	PC; personal computer
rāyānei	computer; computer-driven
rāyānāme	email; e-mail
rāygān	free; gratis; gratuitous
rāz	mystery; secret; secrecy; hedgehog; paint
rāzdār	confidants.; confidant; confident; alder; confidential; reliable; tight-lipped; tight-mouthed
rāzdāri	secrecy
rāzi	satisfied; happy; content
rāzi kardan	satisfy
rāzi sāxtan	reconcile
rāzi šodan	acquiesce; consent; supple; admit; being satisfied
rāzikonande	satisfying
rāznegahdār	secret keeper
rāzgošāyi	revelations
sa'y	effort; endeavor; work; eagerness; labor; conation; try
sa'y kardan	try out
sabab	cause; reason; occasion; due to; owing to; account; ground; motive
sabab (asbāb)	account; causation; causative; cause; causer; motive; reason
sababi	causal
sababsāz	caused
sababsāzi	caused
sabad	basket; basketry; kist
sabad-e mive	fruit basket
sabadbāfi	basket weaving
sabb	curse; insult; abuse; blame; reproach; reproof
sabk	style; mode; order; fashion
sabk-e zendegi	lifestyle
sabki	lightness; frivolity; levity
sabkšenāsi	stylistics
sabkšenāxti	stylistic
sabo'	ferocious; lupine; fierce; predator; wild animal; brute; murderous; wild
sabok	light; easy; thin; volatile; frivolous; fast; gossamer; style; method; way; mode; fashion; shape; soft; lightsome
sabok paridan	glide
sabok raftan	scud; trip
sabokbāft	fabric
sabokbār	carefree; unencumbered; lightly loaded
sabokbāri	carelessness
saboksar	stupid; frivolous; featherbrained
saboksari	frivolously; levity; frivolity
saboksarāne	unthinking
sabokvazn	lightweight; light; weightless; welterweight
sabr	patience
sabr kardan	wait
sabr kardan (kon)	wait
sabt	registration; record; recording; entry; inscription; notation; roll; enrolment
sabt kardan	register; record; docket; note; incorporate; enter; put; scroll; score; inscribe
sabt-e amār	register
sabteahvāl	registry office
sabtenām	register; enrollment; registration
sabtenām kardan	register; enroll
sabtenāmkarde	logged
sabtenāmkonande	registrant
sabtenāmšode	registered
sabti	records
sabtkonande	registrar; registrant
sabtnašode	not registered
sabtšode	registered
sabur	patient
sabus	bran; chisel; chaff; husk; pollard; shuck; slough
sabz	green; fresh; blooming
sabz kardan	green; germinate; grow
sabz šodan	green; sprout; germinate; grow; shoot; germination
sabze	brunette; grass; brunet; tawny; dark-colored
sabzemeydān	fruit and vegetable market
sabzeru	dark; swarthy; tawny
sabzevār	patch of grass
sabzezār	green field
sabzi	vegetable; greens; greenery
sabzi (sabzijāt)	legume; vegetable; greenery
sabziforuš	greengrocer
sabziforuši	vegetable seller; greengrocery; olericulture
sabzijāt	vegetables; greengrocery; green
sabzixordan	herbs
sabzrang	green
sabzrang	green; verdant; viridescent
sad	barrier; block; dam
sad kardan	stop
sad(d)	hundred
sadaf	shard; shale; pearl
sadaf-e morvārid	mother of pearl; nacre
sadame	injury; hurt; harm; disservice; shock; concussion; scathe; maim; indemnity
sadame didan	miscarry
sadame zadan	harm; offend; damnify; mar; maul; nip; damage; injure
sadaqe	alms; charity; dole
sadcandān	hundredfold
sadd	dam; barrier; block; obstacle; wall; dike
sadd-e moteharrek	lock
sadd-e āb	dam
saddarsad	hundred-percent
sadderāh kardan	blockade
sade	century; centenary; centennial; hundred;  centenary;  centennial;  sill;  obstruction;  projection
sadhā	hundreds of
sadomin	hundredth
sadrea'zam	prime minister
sadsāle	centenary; centennial
saf	queue; lineup; row; array; rank; cue; army
saf kešidan	queue
safahāt	pl of safhe
safar	travel; trip; journey; tour; voyage; expedition; junket; pilgrimage; progress; rake; trade; trek
safar bā qatār	train journey
safar kardan	travel; journey; trip; peregrinate; voyage
safar-e daryāyi	sailing; cruise
safar-e dowredonyā	world travel
safar-e farhangi	study tour; educational trip
safar-e goruhi	group travel
safar-e kāri	business trip
safar-e tafrihi	junket
safar-e tejāri	business trip
safar-o gardeš	run
safari	bunk; portable; belonging to a journey; expected infant; safari
safarkarde	has traveled
safarnāme	itinerary; logbook
safhe (safahāt)	leaf; page; sheet; tablet
safhe-ye gerd	disc
safhe-ye gerāmāfon	platter; record; recording; LP
safhe-ye sābet	hard disk
safhe-ye šatranj	chessboard
safhe-ye televiziyon	screen
safhekelid	keyboard
safhenamāyeš	screen; display
safine	ship; spaceship
safine-ye fazāyi	spaceship
safir	ambassador; embassador; legate
safir (sofarā)	ambassador; legate
safirekabir	ambassador; embassador
safrā	bile; choler; gall; yellow bile
safsate	sophistry; fallacy; sophism
safte	promissory note; present; demand note; pierced; bored
saftebāzi kardan	kite; speculate
sag	dog
sag-e daryāyi	dogfish; shark
sag-e galle	sheep dog; wolf dog
sag-e gorgi	shepherd
sag-e hār	mad dog
sag-e mādde	bitch
sag-e ābi	beaver
sagak	buckle; clasp
sagak-e kamarband	buckle
sahar	magic; dawn; witchcraft; break of dawn; sunrise; first light of day; early morning
sahar kardan	conjure; enchant; fascinate; spellbind; witch; practise magic
sahari	meal before daybreak during lent
saharxiz	early riser; rising early; riser
sahargah	dawn
sahargāh	dawn; early morning; morn
sahargāhi	early morning
sahargāhān	at dawn; early in the morning
sahhāfi	bookbinding
sahhāfi kardan	bind books
sahhāfi kardan-o duxtan	bind
sahih	valid; integral; good; right; correct; exact; safe; true
sahih-o sālem	hale and hearty; alive and well
sahim	partner; participant; shareholder
sahim budan	share
sahim šodan	participate
sahl	easy; simple; light
sahlengāri	indifference; nonchalance
sahlengār	reckless; lax; nonchalant
sahlengāri	negligence; indifference; nonchalance
sahlolhazm	eupeptic; light
sahm	share; contribution; portion; stock; allotment; dividend; quota
sahm (sahām)	slice; share; proportion; scantling; contribution; ration; ratio; whack; quota; lot; arrow; allotment; portion; stock
sahm bordan	partake; share
sahmgin	formidable; hideous; horrible; horrific
sahmi	contribution; sagittal; arrowy; directrix
sahmiye	quota; share; stock; scantling; ration
sahmiyebandi	rationing
sahmiyei	quota
sahmgin	formidable; horrible; horrific
sahmgiri	participation
sahne	scene; stage
sahne-ye teātr	theater stage
sahnesāzi	histrionics; scenery
sahne-ye varzeš	ring
sahrā	desert; field; wilderness; wild land; champaign
sahrānešin	nomad
sahrāyi	outdoor;  cross-country
sahv	oversight; mistake; error; blunder; slip; inadvertence
sahvi	unintentional
sahāb	nebula; cloud
sahām	take stock; shares; stocks; pl of sahm
sahāmdār	shareholder; propertied
sahāmi	joint stock
sajde	prostrated
sajjāde	prayer; prayer rug
sajāvandi	punctuation
sakane	population; populace; habitance
sakku	podium; stone bench; bench; platform
sakku-ye istgāh-e rāhāhan	platform; station platform
salahšur	warrior; knight; champion; brave; bold
salahšuri	bravery; prowess; gallantry
salb	deprivation; negation; divestment
salb kardan	deprive; devest; foreclose
salbemālekiyat	dispossession; expropriation
salib	cross; rood
salib bar sin-e kešidan	cross themselves
Salib-e Sorx	red cross
salibi	cruciform; crosswise
saliqe	taste; style; tact; manner; elegance
salis	smooth; fluent; pellucid; glib; eloquent; clear; easy; versatile; liquid; voluble
salis budan	flow
sallāx	slaughterer; butcher; flayer
sallāxi	slaughter; flaying; butchery
sallāxxāne	slaughterhouse
